time,PM10_Standard,PM25_Standard,PM100_Standard,PM10_Enviornment,PM25_Enviornment,PM100_Enviornment,Particles_03um,Particles_05um,Particles_10um,Particles_25um,Particles_50um,Particles_100um,Tempurature,Relative_Humidity,Pressure,Altitude,Gas
1741392964.5603576,2.0,5.0,5.0,2.0,5.0,5.0,522.0,152.0,38.0,7.0,0.0,0.0,21.40421875,33.04969824476891,1008.7353758199241,37.655317424071804,232132.0
1741392965.573479,2.0,5.0,5.0,2.0,5.0,5.0,522.0,152.0,38.0,7.0,0.0,0.0,21.387421875,33.07120332519926,1008.7381126872756,37.63244861864145,233697.0
1741392966.5864065,2.0,5.0,5.0,2.0,5.0,5.0,522.0,152.0,38.0,7.0,0.0,0.0,21.37453125,33.09305971097973,1008.7360445137612,37.649729925669625,232132.0
1741392967.5995553,2.0,4.0,4.0,2.0,4.0,4.0,480.0,138.0,29.0,2.0,0.0,0.0,21.3614453125,33.114901109511486,1008.7409817013081,37.60847567160791,234646.0
1741392968.612702,2.0,4.0,4.0,2.0,4.0,4.0,480.0,138.0,29.0,2.0,0.0,0.0,21.3489453125,33.13104357214487,1008.7395288990812,37.620615009596506,232912.0
1741392969.6268735,2.0,4.0,4.0,2.0,4.0,4.0,480.0,138.0,29.0,2.0,0.0,0.0,21.33625,33.1529241286581,1008.7414241057575,37.60477902731423,233068.0
1741392970.6416736,2.0,4.0,4.0,2.0,4.0,4.0,555.0,155.0,32.0,2.0,0.0,0.0,21.32453125,33.19216123756456,1008.7466891763747,37.56078523685486,234646.0
1741392971.652929,2.0,4.0,4.0,2.0,4.0,4.0,555.0,155.0,32.0,2.0,0.0,0.0,21.3175,33.214556560899055,1008.7483850460407,37.54661495658162,234013.0
1741392972.6637216,2.0,4.0,4.0,2.0,4.0,4.0,555.0,155.0,32.0,2.0,0.0,0.0,21.3102734375,33.23693734115014,1008.7552576111879,37.48918964766838,233539.0
1741392973.6748421,2.0,4.0,4.0,2.0,4.0,4.0,519.0,147.0,29.0,2.0,0.0,0.0,21.30421875,33.24790992072448,1008.7566666711297,37.477415960300284,234646.0
1741392974.6860182,2.0,4.0,4.0,2.0,4.0,4.0,519.0,147.0,29.0,2.0,0.0,0.0,21.29328125,33.241171599008425,1008.7521928318552,37.514798081668474,234646.0
1741392975.697162,2.0,4.0,4.0,2.0,4.0,4.0,519.0,147.0,29.0,2.0,0.0,0.0,21.2805859375,33.26306492851671,1008.7504277156957,37.529546924364716,235924.0
1741392976.709315,2.0,4.0,4.0,2.0,4.0,4.0,495.0,145.0,24.0,2.0,0.0,0.0,21.269453125,33.262066571311685,1008.7456445415413,37.56951396462738,236568.0
1741392977.7221665,2.0,4.0,4.0,2.0,4.0,4.0,495.0,145.0,24.0,2.0,0.0,0.0,21.2598828125,33.2727249169026,1008.7469852658949,37.55831118243109,236892.0
1741392978.7348182,2.0,4.0,4.0,2.0,4.0,4.0,495.0,145.0,24.0,2.0,0.0,0.0,21.2458203125,33.28298081302833,1008.744887505247,37.57583958990106,236246.0
1741392979.747325,2.0,3.0,3.0,2.0,3.0,3.0,489.0,141.0,18.0,1.0,0.0,0.0,21.23,33.29883850776429,1008.741840991629,37.60129561242987,237054.0
1741392980.7598526,2.0,3.0,3.0,2.0,3.0,3.0,489.0,141.0,18.0,1.0,0.0,0.0,21.222578125,33.315451036987135,1008.7447449753113,37.57703053846801,237216.0
1741392981.772516,2.0,3.0,3.0,2.0,3.0,3.0,489.0,141.0,18.0,1.0,0.0,0.0,21.21671875,33.33796592112135,1008.739147256445,37.623803944940065,236568.0
1741392982.7849193,2.0,2.0,2.0,2.0,2.0,2.0,450.0,128.0,12.0,0.0,0.0,0.0,21.206171875,33.342779497720635,1008.7371151719361,37.64078368401202,237216.0
1741392983.7967772,2.0,2.0,2.0,2.0,2.0,2.0,450.0,128.0,12.0,0.0,0.0,0.0,21.194453125,33.3590099909804,1008.7332317883661,37.673232627946085,237216.0
1741392984.8091054,2.0,2.0,2.0,2.0,2.0,2.0,450.0,128.0,12.0,0.0,0.0,0.0,21.1837109375,33.37532951616456,1008.7436870699609,37.58587016546278,237216.0
1741392985.8214018,2.0,2.0,2.0,2.0,2.0,2.0,420.0,122.0,11.0,0.0,0.0,0.0,21.1719921875,33.408850672016655,1008.7343183157883,37.664153765054365,238194.0
1741392986.8342698,2.0,2.0,2.0,2.0,2.0,2.0,420.0,122.0,11.0,0.0,0.0,0.0,21.16203125,33.42524474977149,1008.7368659055534,37.64286651176753,238522.0
1741392987.84742,2.0,2.0,2.0,2.0,2.0,2.0,420.0,122.0,11.0,0.0,0.0,0.0,21.1565625,33.44780873514935,1008.7355402421689,37.6539435379005,238687.0
1741392988.8605053,2.0,2.0,2.0,2.0,2.0,2.0,405.0,119.0,17.0,1.0,0.0,0.0,21.151484375,33.45888091346644,1008.7275194099421,37.72096454979376,238194.0
1741392989.8735862,2.0,2.0,2.0,2.0,2.0,2.0,405.0,119.0,17.0,1.0,0.0,0.0,21.151875,33.46468101249303,1008.7317924232452,37.68525976279846,238194.0
1741392990.8867183,2.0,2.0,2.0,2.0,2.0,2.0,405.0,119.0,17.0,1.0,0.0,0.0,21.1489453125,33.47594773543903,1008.7326490234045,37.67810212927609,238851.0
