time,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16
1740179304.6900585,0.0,1.0,1.0,0.0,1.0,1.0,348.0,100.0,16.0,1.0,0.0,0.0,23.180390625,30.493007629298067,1009.3064670012401,32.88446325041849
1740179305.703973,0.0,1.0,1.0,0.0,1.0,1.0,348.0,100.0,16.0,1.0,0.0,0.0,23.131171875,30.50532876219767,1009.3071129912147,32.87906793492563
1740179306.716935,0.0,1.0,1.0,0.0,1.0,1.0,348.0,100.0,16.0,1.0,0.0,0.0,23.0774609375,30.4952802582453,1009.3071478423957,32.87877685755217
1740179307.7298617,0.0,2.0,2.0,0.0,2.0,2.0,366.0,106.0,19.0,2.0,0.0,0.0,23.0282421875,30.524093592475452,1009.3008663774876,32.931239839853916
1740179308.7428808,0.0,2.0,2.0,0.0,2.0,2.0,366.0,106.0,19.0,2.0,0.0,0.0,22.98078125,30.52556991376,1009.3044164233557,32.90158971837222
1740179309.7558386,0.0,2.0,2.0,0.0,2.0,2.0,366.0,106.0,19.0,2.0,0.0,0.0,22.9313671875,30.54887043714334,1009.3081439339127,32.870457495772385
1740179310.76882,0.0,2.0,2.0,0.0,2.0,2.0,366.0,108.0,18.0,2.0,0.0,0.0,22.8790234375,30.577421984818955,1009.3138670902791,32.822657791433606
1740179311.7817693,0.0,2.0,2.0,0.0,2.0,2.0,366.0,108.0,18.0,2.0,0.0,0.0,22.833125,30.57353270622078,1009.3130924925878,32.82912720529595
1740179312.7947552,0.0,2.0,2.0,0.0,2.0,2.0,366.0,108.0,18.0,2.0,0.0,0.0,22.80109375,30.631301675807592,1009.313053068787,32.829456471659405
1740179313.8081455,0.0,2.0,2.0,0.0,2.0,2.0,372.0,108.0,20.0,2.0,0.0,0.0,22.7753125,30.673115602272595,1009.3096511967395,32.857868841068296
1740179314.8222964,0.0,2.0,2.0,0.0,2.0,2.0,372.0,108.0,20.0,2.0,0.0,0.0,22.749921875,30.736982735947358,1009.3155266448106,32.80879726134208
1740179315.8352497,0.0,2.0,2.0,0.0,2.0,2.0,372.0,108.0,20.0,2.0,0.0,0.0,22.7200390625,30.90513133194579,1009.3104395278001,32.85128470842373
1740179316.8481886,0.0,1.0,1.0,0.0,1.0,1.0,336.0,97.0,19.0,2.0,0.0,0.0,22.6815625,31.078241317270386,1009.3099620875945,32.85527228345124
1740179317.8611434,0.0,1.0,1.0,0.0,1.0,1.0,336.0,97.0,19.0,2.0,0.0,0.0,22.64328125,31.174268270998788,1009.3218805677312,32.755729733226865
1740179318.8741453,0.0,1.0,1.0,0.0,1.0,1.0,336.0,97.0,19.0,2.0,0.0,0.0,22.5973828125,31.242082704450603,1009.3141573084232,32.82023390028821
1740179319.8878467,0.0,1.0,1.0,0.0,1.0,1.0,312.0,91.0,21.0,2.0,0.0,0.0,22.5489453125,31.271041872036825,1009.3211548043929,32.76179124513038
1740179320.8995974,0.0,1.0,1.0,0.0,1.0,1.0,312.0,91.0,21.0,2.0,0.0,0.0,22.5040234375,31.289261396773078,1009.3305690143118,32.68316486157071
1740179321.910707,0.0,1.0,1.0,0.0,1.0,1.0,312.0,91.0,21.0,2.0,0.0,0.0,22.46515625,31.28039261233441,1009.3328496625634,32.66411724264901
1740179322.9217708,1.0,2.0,2.0,1.0,2.0,2.0,306.0,89.0,17.0,2.0,0.0,0.0,22.4372265625,31.305597467372625,1009.337890041805,32.6220209040085
1740179323.9328666,1.0,2.0,2.0,1.0,2.0,2.0,306.0,89.0,17.0,2.0,0.0,0.0,22.4169140625,31.33698440311861,1009.3384177878554,32.61761327399535
1740179324.9441578,1.0,2.0,2.0,1.0,2.0,2.0,306.0,89.0,17.0,2.0,0.0,0.0,22.397578125,31.362936288556302,1009.3336786333471,32.65719381643355
1740179325.958425,1.0,2.0,2.0,1.0,2.0,2.0,318.0,91.0,17.0,2.0,0.0,0.0,22.37765625,31.399891241258402,1009.3348560649989,32.64736011086992
1740179326.9709623,1.0,2.0,2.0,1.0,2.0,2.0,318.0,91.0,17.0,2.0,0.0,0.0,22.3551953125,31.431107718450246,1009.3369590092582,32.629796707157496
1740179327.9835463,1.0,2.0,2.0,1.0,2.0,2.0,318.0,91.0,17.0,2.0,0.0,0.0,22.3383984375,31.462818382340924,1009.3364608844807,32.63395695101412
1740179328.9960146,0.0,1.0,1.0,0.0,1.0,1.0,324.0,93.0,19.0,2.0,0.0,0.0,22.325703125,31.48383237963055,1009.3376474721772,32.62404679790835
1740179330.0084248,0.0,1.0,1.0,0.0,1.0,1.0,324.0,93.0,19.0,2.0,0.0,0.0,22.31515625,31.5326816033763,1009.338977523822,32.61293847260365
1740179331.0210755,0.0,1.0,1.0,0.0,1.0,1.0,324.0,93.0,19.0,2.0,0.0,0.0,22.3032421875,31.58142738181124,1009.336296473547,32.63533008037828
1740179332.0336905,0.0,1.0,1.0,0.0,1.0,1.0,282.0,81.0,17.0,2.0,0.0,0.0,22.292109375,31.63025569375581,1009.3349213734165,32.64681466653078
1740179333.046275,1.0,2.0,2.0,1.0,2.0,2.0,282.0,81.0,17.0,2.0,0.0,0.0,22.2837109375,31.64612826695311,1009.3312217865168,32.67771300624205
1740179334.0590873,1.0,2.0,2.0,1.0,2.0,2.0,282.0,81.0,17.0,2.0,0.0,0.0,22.276875,31.717494649208813,1009.3422041353114,32.585990508076826
1740179335.0718188,1.0,2.0,2.0,1.0,2.0,2.0,282.0,77.0,21.0,1.0,0.0,0.0,22.2708203125,31.755730167390563,1009.3320786507877,32.67055660899092
1740179336.0847633,1.0,2.0,2.0,1.0,2.0,2.0,282.0,77.0,21.0,1.0,0.0,0.0,22.263984375,31.799446764124582,1009.3292673361383,32.69403629052895
1740179337.0977514,1.0,2.0,2.0,1.0,2.0,2.0,282.0,77.0,21.0,1.0,0.0,0.0,22.25890625,31.8488705873799,1009.3259473231601,32.72176461298854
1740179338.1107163,1.0,2.0,2.0,1.0,2.0,2.0,288.0,77.0,21.0,0.0,0.0,0.0,22.2466015625,31.86996497293115,1009.3226104898755,32.74963349089752
1740179339.1255255,1.0,2.0,2.0,1.0,2.0,2.0,288.0,77.0,21.0,0.0,0.0,0.0,22.23,31.90177295112096,1009.3120870935833,32.837524269955466
1740179340.138401,1.0,2.0,2.0,1.0,2.0,2.0,288.0,77.0,21.0,0.0,0.0,0.0,22.2176953125,31.9228732157646,1009.313921104096,32.822206669999915
1740179341.1509926,1.0,2.0,2.0,1.0,2.0,2.0,276.0,75.0,22.0,0.0,0.0,0.0,22.2087109375,31.938721277534405,1009.3144114438524,32.81811137110468
1740179342.1639996,1.0,2.0,2.0,1.0,2.0,2.0,276.0,75.0,22.0,0.0,0.0,0.0,22.2036328125,31.960457547609813,1009.3197104210751,32.773854618727206
1740179343.177057,1.0,2.0,2.0,1.0,2.0,2.0,276.0,75.0,22.0,0.0,0.0,0.0,22.1989453125,31.976684787466695,1009.3187666820214,32.7817366591444
1740179344.189235,1.0,2.0,2.0,1.0,2.0,2.0,303.0,84.0,22.0,1.0,0.0,0.0,22.1942578125,32.00955443905925,1009.3195468018349,32.77522115437737
1740179345.2022707,1.0,2.0,2.0,1.0,2.0,2.0,303.0,84.0,22.0,1.0,0.0,0.0,22.189765625,32.025803717702395,1009.3154816730105,32.80917286369206
1740179346.2155612,1.0,2.0,2.0,1.0,2.0,2.0,303.0,84.0,22.0,1.0,0.0,0.0,22.1876171875,32.042259964859014,1009.3187841984692,32.7815903629861
1740179347.2286422,1.0,2.0,2.0,1.0,2.0,2.0,333.0,95.0,23.0,1.0,0.0,0.0,22.1860546875,32.064318532590725,1009.3075513607537,32.87540666922511
1740179348.2416356,1.0,2.0,2.0,1.0,2.0,2.0,333.0,95.0,23.0,1.0,0.0,0.0,22.1844921875,32.075280529615476,1009.3135577334813,32.825241528519484
1740179349.2546563,1.0,2.0,2.0,1.0,2.0,2.0,333.0,95.0,23.0,1.0,0.0,0.0,22.18,32.09708690160828,1009.311216417526,32.844796137766075
1740179350.2676346,1.0,2.0,2.0,1.0,2.0,2.0,351.0,99.0,21.0,1.0,0.0,0.0,22.17765625,32.107982637951324,1009.3124682580824,32.83434079380914
1740179351.280559,1.0,2.0,2.0,1.0,2.0,2.0,351.0,99.0,21.0,1.0,0.0,0.0,22.1747265625,32.11882767924497,1009.3144639843216,32.81767255520891
1740179352.29361,1.0,2.0,2.0,1.0,2.0,2.0,351.0,99.0,21.0,1.0,0.0,0.0,22.1727734375,32.118656221635675,1009.3094735238884,32.85935276340681
1740179353.3063846,1.0,2.0,2.0,1.0,2.0,2.0,375.0,105.0,20.0,1.0,0.0,0.0,22.1696484375,32.14614072309084,1009.3059708955072,32.88860673294974
1740179354.3193867,1.0,2.0,2.0,1.0,2.0,2.0,375.0,105.0,20.0,1.0,0.0,0.0,22.1673046875,32.145934837941795,1009.3054987560971,32.89255004992273
1740179355.334615,1.0,2.0,2.0,1.0,2.0,2.0,375.0,105.0,20.0,1.0,0.0,0.0,22.1637890625,32.156730900576406,1009.2978950643896,32.95605642759349
1740179356.3487425,1.0,2.0,3.0,1.0,2.0,3.0,381.0,109.0,21.0,1.0,0.0,0.0,22.1602734375,32.16752765360311,1009.3023583599332,32.91877873402102
1740179357.3623497,1.0,2.0,3.0,1.0,2.0,3.0,381.0,109.0,21.0,1.0,0.0,0.0,22.1565625,32.17830792735273,1009.2978756829642,32.95621830263367
1740179358.3753338,1.0,2.0,3.0,1.0,2.0,3.0,381.0,109.0,21.0,1.0,0.0,0.0,22.14640625,32.188522163586065,1009.3032990316804,32.91092220809691
1740179359.3879156,1.0,2.0,2.0,1.0,2.0,2.0,387.0,113.0,17.0,1.0,0.0,0.0,22.134296875,32.17079778597847,1009.2985599245911,32.9505034696082
1740179360.4007602,1.0,2.0,2.0,1.0,2.0,2.0,387.0,113.0,17.0,1.0,0.0,0.0,22.11984375,32.15842275487941,1009.3036902453565,32.90765477846257
1740179361.4138236,1.0,2.0,2.0,1.0,2.0,2.0,387.0,113.0,17.0,1.0,0.0,0.0,22.1063671875,32.146135244038376,1009.2983868580706,32.9519489327697
1740179362.4264028,1.0,2.0,3.0,1.0,2.0,3.0,393.0,115.0,19.0,1.0,0.0,0.0,22.090546875,32.13919494866278,1009.3029520350528,32.91382033633278
1740179363.4389515,1.0,2.0,3.0,1.0,2.0,3.0,393.0,115.0,19.0,1.0,0.0,0.0,22.0712109375,32.12639629220024,1009.301635421215,32.924816749496884
1740179364.4504614,1.0,2.0,3.0,1.0,2.0,3.0,393.0,115.0,19.0,1.0,0.0,0.0,22.050703125,32.11904711516158,1009.3018041484808,32.92340753175356
1740179365.4629555,1.0,2.0,3.0,1.0,2.0,3.0,399.0,119.0,15.0,2.0,0.0,0.0,22.033515625,32.10644051685059,1009.295460413066,32.976390827644884
1740179366.4767766,1.0,2.0,3.0,1.0,2.0,3.0,399.0,119.0,15.0,2.0,0.0,0.0,22.0243359375,32.122285080264746,1009.2956167827621,32.97508481440435
1740179367.4907696,1.0,2.0,3.0,1.0,2.0,3.0,399.0,119.0,15.0,2.0,0.0,0.0,22.0159375,32.13819948217963,1009.2936326810623,32.991656215722905
